Doctor Name,Doctor Profile URL,Doctor Image,Experience (Years),Specialties,Rating (Max 5),Consultation Fee (BDT)
Dr. Tanzina Ahmed,https://doctime.com.bd/doctors/dr-tanzina-ahmed-111991,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/139323/profile_photos/MaVZqDcxCbOi5s0S5GuN1IrdfvG28NjaoI8Qx0Gu.jpg,7,"General Physician,Gynae & Obs",5,370
Asst. Prof. Dr. Mehedi Hasan,https://doctime.com.bd/doctors/asst-prof-dr-mehedi-hasan-158,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/155/profile_photos/WHwgabWELxZILtthsqT7r7PMzeJrpg88s3cIKfUQ.jpg,14,"Pediatric Hematologist and Oncologist,General Physician",4.9,750
Asst. Prof. Dr. Raihan Ahmad,https://doctime.com.bd/doctors/asst-prof-dr-raihan-ahmad-139579,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/175198/profile_photos/LI1Odwz0vFMnJLDUecj4v7JzA1mZhPULQt4zt96E.png,13,"Medicine Specialist,Neurologist,General Physician",5,1100
Asst. Prof. Dr. Mamunur Rashid,https://doctime.com.bd/doctors/asst-prof-dr-mamunur-rashid-7769337,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/7819301/profile_photos/U4HaQmAXQsGeDce5TFXXcMOWiSnJEzj9k3CZzybn.jpg,15,"Orthopedist,General Physician",5,550
Dr. Sawrav Deb Bappy,https://doctime.com.bd/doctors/dr-sawrav-deb-bappy-415495,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/495446/profile_photos/5rDOxqpwX9rSXEjoDT6KfHh1Y8OAuZzdm0Tg7tCt.jpg,13,"Child Specialist,General Physician",4.9,505
Assoc. Prof. Dr. Md. Abdul Alim,https://doctime.com.bd/doctors/assoc-prof-dr-md-abdul-alim-15304725,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/15403142/profile_photos/SKmgTKgb7ketD2WdrS2kWpNO5WyyhcnBsaA1tDFC.jpg,23,General Physician,5,450
Asst. Prof. Dr. Afsara Tasnim,https://doctime.com.bd/doctors/asst-prof-dr-afsara-tasnim-166644,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/208061/profile_photos/5yqRringZSZJw5PrCRKYH2OOqNDd4dHv9LZMnLIc.jpg,9,"General Physician,Gynae & Obs",5,300
Asst. Prof. Dr. Z. Wadud,https://doctime.com.bd/doctors/asst-prof-dr-z-wadud-3059901,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/3160518/profile_photos/e4GP78X5FKwc4BCz1LN6OeH5wkBC2G4vA90GViyo.png,12,"Orthopedist,General Physician",5,600
Dr. Golam Moudud Ahmed,https://doctime.com.bd/doctors/dr-golam-moudud-ahmed-61566,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/73771/profile_photos/dlRSNss3ELcRYe4O0n7GzOXquTjw9DWtTyF1QAnY.jpg,11,"General Physician,Child Specialist",5,270
Dr. Tasmia Tarannum,https://doctime.com.bd/doctors/dr-tasmia-tarannum-458116,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/547397/profile_photos/tdqzi0ryHFveV5H9XyLN1CvBe19fj6m716K1ycLF.png,10,"Gynae & Obs,General Physician",5,300
